상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220802615814,더춘장,,I2,음식,I202,중식,I20201,중국집,I56121,중식 음식점업,41,경기도,41171,안양시 만안구,41171510,안양1동,4117110100,안양동,4117110100106740081,1,대지,674.0,81.0,경기도 안양시 만안구 안양동 674-81,411714346302,경기도 안양시 만안구 장내로149번길,53.0,,4117110100106740081008417,,경기도 안양시 만안구 장내로149번길 53,430831.0,13992,,4,,126.922184578927,37.4003211622723
MA0101202410A0246062,맨투맨학원,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,41,경기도,41150,의정부시,41150578,송산3동,4115010700,낙양동,4115010700107210003,1,대지,721.0,3.0,경기도 의정부시 낙양동 721-3,411503181035,경기도 의정부시 용민로,313.0,,4115010700107210003000001,폴리프라자,경기도 의정부시 용민로 313,480080.0,11770,,,,127.103861747215,37.7525627937619
MA010120220813385164,기와집,,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,41,경기도,41830,양평군,41830350,서종면,4183035025,서종면,4183035025103230000,1,대지,323.0,,경기도 양평군 서종면 정배리 323,418304452249,경기도 양평군 서종면 중미산로797번길,6.0,,4183035025103230000011799,,경기도 양평군 서종면 중미산로797번길 6,476812.0,12501,,,,127.424791108137,37.6025518768328
MA010120220809344196,제이피누수,,M1,과학·기술,M105,광고,M10504,광고물 설계/제작업,M71393,광고물 문안; 도안; 설계 등 작성업,41,경기도,41463,용인시 기흥구,41463590,보정동,4146311800,보정동,4146311800112610001,1,대지,1261.0,1.0,경기도 용인시 기흥구 보정동 1261-1,414633204056,경기도 용인시 기흥구 죽현로,8.0,22.0,4146311800112610001023405,휴먼타워,경기도 용인시 기흥구 죽현로 8-22,446858.0,16897,,,,127.108960594244,37.31977177366
MA010120220814055285,롯데1번지부동산공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,26,부산광역시,26260,동래구,26260600,사직3동,2626010900,사직동,2626010900101070004,1,대지,107.0,4.0,부산광역시 동래구 사직동 107-4,262604190306,부산광역시 동래구 아시아드대로146번길,4.0,,2626010900101070004008535,,부산광역시 동래구 아시아드대로146번길 4,607821.0,47842,,,,129.065966711765,35.1974296412164
MA0101202408A0000922,정시파이터수학교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,11,서울특별시,11470,양천구,11470550,목5동,1147010200,목동,1147010200109070000,1,대지,907.0,,서울특별시 양천구 목동 907,114703114003,서울특별시 양천구 목동서로,77.0,,1147010200109070000016349,현대월드타워,서울특별시 양천구 목동서로 77,158735.0,7983,,,,126.877985628103,37.5359669794965
MA010120220700020547,복음내과의원,,Q1,보건의료,Q102,의원,Q10201,내과/소아과 의원,Q86201,일반의원,12,전남광주통합특별시,12270,남구,12270538,봉선2동,1227011500,봉선동,1227011500104730021,1,대지,473.0,21.0,전남광주통합특별시 남구 봉선동 473-21,122703161008,전남광주통합특별시 남구 봉선2로,39.0,3.0,2915511500104730021000001,,전남광주통합특별시 남구 봉선2로 39-3,503814.0,61696,,2,,126.91049719074,35.1260432060003
MA010120220805277248,지고트,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,11,서울특별시,11140,중구,11140590,광희동,1114014800,을지로6가,1114014800100170002,1,대지,17.0,2.0,서울특별시 중구 을지로6가 17-2,111404103267,서울특별시 중구 장충단로13길,20.0,,1114014800100170002013851,지고트현대시티타워,서울특별시 중구 장충단로13길 20,100726.0,4563,,3,,127.007674516712,37.5687359942888
MA010120220805199635,슬림점핑다이어트,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,27,대구광역시,27290,달서구,27290617,유천동,2729011900,대천동,2729011900104410001,1,대지,441.0,1.0,대구광역시 달서구 대천동 441-1,272904241556,대구광역시 달서구 조암남로28길,9.0,,2729011900104410001009778,,대구광역시 달서구 조암남로28길 9,704800.0,42759,,2,,128.517558272404,35.8176803665852
MA010120220809412150,구구열쇠,,G2,소매,G210,철물·건설자재 소매,G21001,철물/공구 소매업,G47511,철물 및 난방용구 소매업,47,경상북도,47190,구미시,47190583,형곡2동,4719010900,형곡동,4719010900101690011,1,대지,169.0,11.0,경상북도 구미시 형곡동 169-11,471903308042,경상북도 구미시 신시로,41.0,,4719010900101690011026876,,경상북도 구미시 신시로 41,730930.0,39313,,,,128.339019933182,36.1116164481033
MA010120220805030394,시원뷰티,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,28,인천광역시,28237,부평구,28237648,삼산2동,2823710500,삼산동,2823710500104590003,1,대지,459.0,3.0,인천광역시 부평구 삼산동 459-3,282373154056,인천광역시 부평구 체육관로,34.0,,2823710500104590003106978,삼산동이리옴프라자,인천광역시 부평구 체육관로 34,403866.0,21344,,,,126.735477026401,37.5082802754306
MA010120220812859268,치킨신드롬,음성점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43770,음성군,43770250,음성읍,4377025021,음성읍,4377025021103990017,1,대지,399.0,17.0,충청북도 음성군 음성읍 읍내리 399-17,437704541318,충청북도 음성군 음성읍 설성로86번길,28.0,1.0,4377025021103990017000001,,충청북도 음성군 음성읍 설성로86번길 28-1,369807.0,27706,,,,127.691543912058,36.9278646542573
MA010120220800716145,다모아,,R1,예술·스포츠,R104,유원지·오락,R10410,복권 발행/판매업,R91241,복권 발행 및 판매업,11,서울특별시,11530,구로구,11530560,구로5동,1153010200,구로동,1153010200100290021,1,대지,29.0,21.0,서울특별시 구로구 구로동 29-21,115304148193,서울특별시 구로구 공원로6나길,39.0,1.0,1153010200100290021019241,,서울특별시 구로구 공원로6나길 39-1,152838.0,8289,,1,,126.891800735373,37.5044633737578
MA010120220810954994,향림한약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,48,경상남도,48123,창원시 성산구,48123510,반송동,4812312400,반지동,4812312400100500017,1,대지,50.0,17.0,경상남도 창원시 성산구 반지동 50-17,481233328014,경상남도 창원시 성산구 반송로,55.0,,4812312400100500017008647,,경상남도 창원시 성산구 반송로 55,642820.0,51418,,,,128.663183030259,35.2407822201358
MA0101202212A0059111,촌랩,,P1,교육,P106,기타 교육,P10607,청소년 수련시설,P85614,청소년 수련시설 운영업,41,경기도,41610,광주시,41610340,퇴촌면,4161034024,퇴촌면,4161034024104800000,1,대지,480.0,,경기도 광주시 퇴촌면 영동리 480,416104433288,경기도 광주시 퇴촌면 석둔길,49.0,,4161034024104800000252962,,경기도 광주시 퇴촌면 석둔길 49,464983.0,12712,,,,127.370930942838,37.4812342990802
MA010120220801418194,대성환경개발,,N1,시설관리·임대,N102,청소·방제,N10201,건축물 일반 청소업,N74211,건축물 일반 청소업,41,경기도,41111,수원시 장안구,41111597,조원1동,4111113600,조원동,4111113600107370005,1,대지,737.0,5.0,경기도 수원시 장안구 조원동 737-5,411114322348,경기도 수원시 장안구 조원로58번길,23.0,,4111113600107370005073908,,경기도 수원시 장안구 조원로58번길 23,440847.0,16282,,1,,127.019162884531,37.2998083965979
MA0101202406A0546231,롯데리아범어,,I2,음식,I210,기타 간이,I21004,버거,L68112,비주거용 건물 임대업,27,대구광역시,27260,수성구,27260510,범어1동,2726010100,범어동,2726010100103710000,1,대지,371.0,,대구광역시 수성구 범어동 371,272603007004,대구광역시 수성구 동대구로,274.0,,2726010100103710000019515,궁전맨션,대구광역시 수성구 동대구로 274,706738.0,42099,,,,128.626206042622,35.8538730297918
MA010120220802790806,아워홈LG디스플레이기숙사점주,,I2,음식,I207,구내식당·뷔페,I20701,구내식당,I56130,기관 구내식당업,41,경기도,41480,파주시,41480310,월롱면,4148031023,월롱면,4148031023112530000,1,대지,1253.0,,경기도 파주시 월롱면 덕은리 1253,414803206059,경기도 파주시 월롱면 엘씨디로,201.0,,4148031023101220003042000,,경기도 파주시 월롱면 엘씨디로 201,413811.0,10845,,1,,126.761470402669,37.8085691482389
MA010120220808832484,지투모터스,,S2,수리·개인,S203,자동차 수리·세차,S20302,자동차 세차장,S95213,자동차 세차업,41,경기도,41210,광명시,41210560,광명5동,4121010100,광명동,4121010100102430000,1,대지,243.0,,경기도 광명시 광명동 243,412103187011,경기도 광명시 광화로,42.0,,4121010100102430000009744,,경기도 광명시 광화로 42,423015.0,14293,,,,126.846895411369,37.4742119555906
MA0101202503A0046197,영계치킨,밀양점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,48,경상남도,48270,밀양시,48270360,상남면,4827036022,상남면,4827036022113260001,1,대지,1326.0,1.0,경상남도 밀양시 상남면 예림리 1326-1,482703327026,경상남도 밀양시 상남면 상남로,1187.0,5.0,4827036022113260001035681,밀양예림대동타운,경상남도 밀양시 상남면 상남로 1187-5,627914.0,50450,,,,128.753025937858,35.4620178834547
